Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","finsa","04B Blanco","","","#F6F6F6"
"DB","finsa","14B Negro","","","#1C1C1C"
"DB","finsa","77V Roble Aurora","","","#C1A68D"
