Type,Adjective,Noun,ERP_Code,Note,HEX
"DB","tafisa","L303 Hardrock Maple","https://tafisa.ca/en/our-colours/hardrock-maple","https://tafisa.ca/sites/default/files/styles/medium/public/1000x1000_L303%28C%29_hires.jpg?itok=1fgU_ffc","#C6A578"
"DB","tafisa","L585 Rhapsody","https://tafisa.ca/en/our-colours/rhapsody","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L585%28K%29%20Rhapsody_Rhapsodie_24X24%20%28Medium%29.jpg?itok=zXeDsV5H","#BFA475"
"DB","tafisa","T443 Secret","https://tafisa.ca/en/our-colours/secret","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L443%28C%29_hires.jpg?itok=NUXZhLAl","#BA9369"
"DB","tafisa","PM581 Sheer Beauty","https://tafisa.ca/en/our-colours/sheer-beauty-0","https://tafisa.ca/sites/default/files/styles/medium/public/2024-02/L581%28K%29%20Sheer%20Beauty_Beaut%C3%A9%20Naturelle_24X24%20%28Medium%29.jpg?itok=jCDIRTFP","#CDAF84"
"DB","tafisa","L562 Sable Island","https://tafisa.ca/en/our-colours/sable-island","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_L562%28R%29_24X24_72dpi.jpg?itok=fnELUq4m","#B8A68D"
"DB","tafisa","L476 Prestige Maple","https://tafisa.ca/en/our-colours/prestige-maple","https://tafisa.ca/sites/default/files/styles/medium/public/1000x1000_L476%28C%29_hires.jpg?itok=moj1fzCy","#BF966B"
"DB","tafisa","L564 Tofino","https://tafisa.ca/en/our-colours/tofino","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_L564%28R%29_24X24_72dpi.jpg?itok=_XGjL31w","#BC976E"
"DB","tafisa","L491 Beach Memories","https://tafisa.ca/en/our-colours/beach-memories","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L491%28S%29_hires.jpg?itok=W9gyZjCM","#97734F"
"DB","tafisa","L488 Dolce Vita","https://tafisa.ca/en/our-colours/dolce-vita","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L488%28S%29_24X24_72dpi.jpg?itok=XICB6KI5","#A97E5C"
"DB","tafisa","L587 Sugar Rush","https://tafisa.ca/en/our-colours/sugar-rush","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L587K%20SugarRush_12x12.jpg?itok=zihJkNGr","#967E57"
"DB","tafisa","HG582 Fashionista","https://tafisa.ca/en/our-colours/fashionista-0","https://tafisa.ca/sites/default/files/styles/medium/public/2024-02/L582%28K%29%20Fashionista_24X24%20%28Medium%29.jpg?itok=KQG2ZNyW","#947757"
"DB","tafisa","PM592 Kiss Curl","https://tafisa.ca/en/our-colours/kiss-curl-0","https://tafisa.ca/sites/default/files/styles/medium/public/2024-02/TAFISA_L592K_Karisma_24x24_300dpi%20%28Medium%29.jpg?itok=QUUciIyb","#7A5E41"
"DB","tafisa","M2006 Tea for Two","https://tafisa.ca/en/our-colours/tea-for-two","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2006%28Y%29_24X24_72dpi.jpg?itok=dF9WgRrM","#8F663F"
"DB","tafisa","L421 Candlelight","https://tafisa.ca/en/our-colours/candlelight","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L421%28C%29_hires.jpg?itok=pFT0U4EV","#A26D45"
"DB","tafisa","L481 Nutmeg","https://tafisa.ca/en/our-colours/nutmeg","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L481%28S%29_24X24_72dpi.jpg?itok=VA9Fqa3O","#A17B58"
"DB","tafisa","M2015 Après-Ski","https://tafisa.ca/en/our-colours/apres-ski","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2015%28Y%29_24X24_72dpi.jpg?itok=PO4y4WG4","#A5886B"
"DB","tafisa","L592 Kiss Curl","https://tafisa.ca/en/our-colours/kiss-curl","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L592-12x12_Compress%C3%A9.jpg?itok=uLsnnWHW","#906F50"
"DB","tafisa","L588 Sweet & Savory","https://tafisa.ca/en/our-colours/sweet-savory","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L588K%20Sweet%26Savory_12x12.jpg?itok=BL-OwFWu","#7F6E51"
"DB","tafisa","L556 Laurentian Path","https://tafisa.ca/en/our-colours/laurentian-path","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L556%28R%29_24X24_72dpi.jpg?itok=rqq68SGx","#9C8364"
"DB","tafisa","L582 Fashionista","https://tafisa.ca/en/our-colours/fashionista","https://tafisa.ca/sites/default/files/styles/medium/public/2020-10/L582%28K%29%20Fashionista_24X24%20%28Medium%29.jpg?itok=4phFfqUj","#937656"
"DB","tafisa","L589 Salt of the Earth","https://tafisa.ca/en/our-colours/salt-of-the-earth","https://tafisa.ca/sites/default/files/styles/medium/public/2023-05/L589K%20SaltOfTheEarth_12x12.jpg?itok=CI7ZNZAq","#755D43"
"DB","tafisa","L557 Rocky Mountain","https://tafisa.ca/en/our-colours/rocky-mountain","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L557%28R%29_24X24_72dpi.jpg?itok=u1G_ULf1","#6B4F39"
"DB","tafisa","M2005 Sunday Brunch","https://tafisa.ca/en/our-colours/sunday-brunch","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/tafisa_M2005%28Y%29_24X24_72dpi.jpg?itok=00Mn6WIy","#62442D"
"DB","tafisa","M2014 Sugar on Ice","https://tafisa.ca/en/our-colours/sugar-on-ice","https://tafisa.ca/sites/default/files/styles/medium/public/2020-03/Tafisa_M2014%28Y%29_24X24_72dpi.jpg?itok=jX3P0v7Z","#674730"
"DB","tafisa","L497 Bora Bora","https://tafisa.ca/en/our-colours/bora-bora","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L497%28S%29_24X24_72dpi_0.jpg?itok=QKzTZZ4C","#925D30"
"DB","tafisa","L498 Antigua","https://tafisa.ca/en/our-colours/antigua","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L498%28S%29_24X24_72dpi.jpg?itok=AYEn0Zpn","#674D3F"
"DB","tafisa","L521 Rustik Cherry","https://tafisa.ca/en/our-colours/rustik-cherry","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L521%28C%29_hires.jpg?itok=8o2lBkN_","#814E2E"
"DB","tafisa","L480 Hot Cinnamon","https://tafisa.ca/en/our-colours/hot-cinnamon","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/Tafisa_L480%28S%29_24X24_72dpi.jpg?itok=U7ZQzTGa","#7D4E2A"
"DB","tafisa","L489 Copa Cabana","https://tafisa.ca/en/our-colours/copa-cabana","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L489%28S%29_24X24_72dpi.jpg?itok=xs_W98KU","#78533A"
"DB","tafisa","L420 Summer Flame","https://tafisa.ca/en/our-colours/summer-flame","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L420%28C%29_hires.jpg?itok=FZEYTxDy","#6D3A21"
"DB","tafisa","L473 Dark Rum Cherry","https://tafisa.ca/en/our-colours/dark-rum-cherry","https://tafisa.ca/sites/default/files/styles/medium/public/2020-04/tafisa_L473%28C%29_24X24_72dpi.jpg?itok=QkX9G0QW","#6B3824"
"DB","tafisa","L472 Shiraz Cherry","https://tafisa.ca/en/our-colours/shiraz-cherry","https://tafisa.ca/sites/default/files/styles/medium/public/960x960_L472%28C%29_hires.jpg?itok=8sOi3xNF","#42241B"
