Type,Noun,Adjective,Note,Tags,Locked,HEX,OKLCH_L,OKLCH_C,OKLCH_H,ERP_Code,Spectral,Illuminant,Observer,Measurement_Method,Measurement_Date,Measurement_Device
PIN,,,Uniboard HPL805 Supermat Sunset Grey,"Melamines,2026 Catalog",,,0.7999971694925021,0.007370960315523415,94.30280002049068,8001094,"[0.374,0.432,0.463,0.476,0.484,0.489,0.493,0.494,0.495,0.497,0.502,0.506,0.509,0.51,0.511,0.511,0.512,0.516,0.519,0.52,0.518,0.517,0.519,0.52,0.52,0.522,0.523,0.523,0.524,0.524,0.525]",D65,10,,,
PIN,,,Uniboard HPLK86 Serenity Supermat,"Melamines,2026 Catalog",,,0.5972656382158148,0.012966351356512232,173.02475750895132,6001173,"[0.152,0.179,0.196,0.205,0.21,0.214,0.216,0.216,0.216,0.217,0.22,0.224,0.227,0.227,0.226,0.222,0.218,0.214,0.211,0.204,0.198,0.194,0.193,0.193,0.193,0.194,0.194,0.194,0.193,0.193,0.192]",D65,10,,,
PIN,,,Uniboard HPL K45 Wave Blue Vellum,"Melamines,2026 Catalog",,,0.3613772651253223,0.03215288894816131,266.70366427181693,3603267,"[0.0688,0.0757,0.0777,0.078,0.0773,0.0763,0.0746,0.0724,0.0696,0.0661,0.0618,0.0565,0.0518,0.0483,0.0464,0.045,0.0433,0.0422,0.042,0.0417,0.0412,0.0406,0.0402,0.0402,0.0405,0.0414,0.042,0.0421,0.0418,0.0415,0.0411]",D65,10,,,
PIN,,,Uniboard HPL K89  Cosmos Omnia,"Melamine Woodgrains,laurels",,,0.7327280598971706,0.04537985387290578,74.07185457887635,7305074,"[0.296,0.3,0.274,0.258,0.247,0.245,0.254,0.272,0.302,0.343,0.371,0.373,0.368,0.363,0.359,0.358,0.366,0.385,0.41,0.446,0.473,0.482,0.481,0.479,0.477,0.478,0.477,0.477,0.479,0.48,0.482]",D65,10,,,
PIN,,,Uniboard HPL K77 Dosha Omnia,"Melamine Woodgrains,laurels",,,0.7100742752700323,0.025554005248527727,74.34388684184705,7103074,"[0.281,0.298,0.288,0.282,0.277,0.277,0.282,0.293,0.312,0.337,0.353,0.351,0.346,0.341,0.338,0.337,0.342,0.354,0.368,0.386,0.398,0.403,0.405,0.405,0.405,0.407,0.408,0.409,0.409,0.41,0.411]",D65,10,,,
PIN,,,Uniboard HPL H75 Tundra Aura,"Melamine Woodgrains,2026 Catalog",,,0.8631003688819807,0.014595289567799248,99.79453898629095,8601100,"[0.46,0.524,0.552,0.564,0.572,0.58,0.589,0.597,0.61,0.628,0.643,0.647,0.647,0.644,0.641,0.636,0.635,0.64,0.648,0.657,0.661,0.661,0.662,0.661,0.659,0.661,0.66,0.66,0.661,0.661,0.662]",D65,10,,,
PIN,,,Uniboard HPL L01 Maria Aura,"Melamine Woodgrains,2026 Catalog",,,0.7491374534803105,0.04632651224636526,75.00733823335611,7505075,"[0.273,0.288,0.276,0.268,0.264,0.266,0.277,0.295,0.324,0.364,0.393,0.399,0.396,0.391,0.387,0.384,0.391,0.409,0.435,0.475,0.504,0.514,0.514,0.512,0.51,0.511,0.51,0.511,0.512,0.514,0.515]",D65,10,,,
PIN,,,Uniboard 888 Novablack Supermat,"Solid wood,2026 Catalog",,,0.33289791504659116,0.0025536719538393642,270.03862258756317,3300270,"[0.0378,0.0404,0.04,0.0397,0.0391,0.0387,0.0383,0.0378,0.0376,0.0377,0.0378,0.0376,0.0373,0.037,0.0368,0.0367,0.0365,0.0366,0.0368,0.0369,0.0367,0.0364,0.0363,0.0362,0.0362,0.0364,0.0364,0.0363,0.0362,0.0361,0.0359]",D65,10,,,
PIN,,,Uniboard HPL 888 Nova Black Brushed Elm,"Melamine Woodgrains,2026 Catalog",,,0.34771051733678987,0.003129904560225107,252.07567269512663,3500252,"[0.0382,0.0423,0.0437,0.0443,0.0446,0.0447,0.0445,0.0442,0.0439,0.0436,0.0435,0.0431,0.0428,0.0424,0.0422,0.0419,0.0417,0.0417,0.0418,0.0417,0.0414,0.0411,0.0409,0.0408,0.0407,0.0408,0.0407,0.0406,0.0404,0.0403,0.0401]",D65,10,,,
PIN,,,Uniboard L08 Frost Sequoia,"Melamine Woodgrains,laurels",,,0.7613224405520554,0.029643487430395136,76.52279831384465,7603077,"[0.322,0.347,0.342,0.338,0.334,0.336,0.343,0.356,0.377,0.405,0.425,0.428,0.425,0.421,0.419,0.418,0.424,0.438,0.455,0.478,0.494,0.499,0.499,0.497,0.496,0.497,0.497,0.497,0.498,0.499,0.499]",D65,10,,,
PIN,,,Uniboard 555 Nova White Supermat,"Solid Laminates,2026 Catalog,laurels",,,0.9664439495891699,0.006036486843716865,114.107886247625,9701114,"[0.647,0.76,0.829,0.858,0.871,0.882,0.89,0.891,0.892,0.893,0.897,0.902,0.904,0.905,0.905,0.903,0.903,0.907,0.91,0.91,0.906,0.903,0.903,0.902,0.9,0.902,0.9,0.898,0.897,0.897,0.897]",D65,10,,,
PIN,,,Uniboard K82 White smoke Supermat,"2026 Catalog,laurels",,,0.5,0.1,0,5010000,,D65,10,,,
PIN,,,Uniboard HPL K84 Quietude Supermat,"2026 Catalog,laurels",,,0.5,0.1,0,5010000,,D65,10,,,
PIN,,,Uniboard HPL H70 Driftwood Brushed Elm,2026 Catalog,,,0.5,0.1,0,5010000,,D65,10,,,
PIN,,,Uniboard HPL H54 Skye Brushed Elm,2026 Catalog,,,0.5,0.1,0,5010000,,D65,10,,,
